"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Turkey","TUR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","42488","43343","50034","51386","52964","63999","73874","84345","95709","104640","117639","134833","155710","200082","242456","281479","320022","369420","401935","435283","457425","489813","512282","555227","582291","611052","635526","652702","670350","689650","701074","725933","746283","763529","776863","807303","874995","902513","924471","941835","","","","","","","","","","","","","","","",
"Turkey","TUR","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181.39640668813","152.160884048222","169.742324074251","166.44875771772","207.986305811259","199.206521989945","160.702136387367","205.394594365842","161.861970690931","156.418859351199","166.150845349836","179.027566463422","","",
"Turkey","TUR","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7959489872468","84.2946688345028","85.6275396925139","86.7593369702056","91.837343892781","90.3404613494699","71.9724889816748","104.566156151937","98.3756546950991","105.389405521204","109.081255771006","113.527267424905","","",
"Turkey","TUR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","365170","366480","373700","372920","372960","374840","373000","376010","386430","381780","383140","388260","387870","383280","379620","379030","380290","380450","388920","385790","386130","371910","367180","376130","381300","384830","394270","392630","398970","396770","400670","399040","399130","401490","394930","393640","392420","399190","403020","404790","409680","411960","406440","412100","412230","404930","395050","391220","389110","390120","382470","384070","384230","","",
"Turkey","TUR","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","47.4474747605992","47.6176864207476","48.5557995400387","48.4544521393397","48.4596494419396","48.7039226641373","48.4648467445396","48.8559437651859","50.209841092473","49.6056546652287","49.7823629536271","50.4476176864207","50.3969439860712","49.8005535127269","49.3250003248314","49.2483401114821","49.4120551433806","49.4328443537804","50.5333731793199","50.1266842508738","50.1708613229734","48.3232202486909","47.7086392162468","48.8715356729857","49.5432870340293","50.001948988475","51.2285124020633","51.0154229954654","51.8391954575575","51.5533438145603","52.0600808180554","51.8482907371074","51.8599846679573","52.1666255213544","51.3142678949625","51.1466548861141","50.9881371568156","51.8677806218573","52.3654223458025","52.5954029858503","53.2307732286943","53.5270194768915","52.8097917180983","53.5452100359913","53.5621012694412","52.6135935449502","51.3298598027624","50.8322180788171","50.5580603666697","50.6892922573184","49.6953081350779","49.9032002390759","49.9239894494757","","",
"Turkey","TUR","Arable land (hectares)","AG.LND.ARBL.HA","","23013000","23131000","23895000","23824000","23841000","24000000","23836000","24092000","25231000","24793000","24978000","25573000","25543000","25161000","24908000","24862000","25063000","25123000","25778000","25354000","25483000","24199000","23696000","24502000","24595000","24558000","24964000","24786000","24880000","24647000","24666000","24514000","24481000","24705000","24654000","24514000","24297000","24439000","24279000","23826000","23801000","23994000","23372000","23871000","23830000","22981000","21979000","21555000","21351000","21384000","20539000","20577000","20574000","","",
"Turkey","TUR","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.815217073641701","0.800104185457032","0.807344056993253","0.786453120524436","0.769060373126377","0.756661792293437","0.734581583735212","0.725743772142724","0.742761067591787","0.713015584278065","0.701470023137165","0.701103506707378","0.683572492270035","0.657413752951484","0.635641064097031","0.619989239089516","0.610991493924787","0.598835294789265","0.600712848399121","0.577463701256714","0.5670848744224","0.526088777019145","0.503392599725152","0.508992953225018","0.500121202375554","0.489329018890535","0.487875033167157","0.475497135362846","0.468845083992523","0.456471530813125","0.449211819563198","0.439231354804581","0.431706914579519","0.428840963430411","0.421275164757651","0.41233618912953","0.402307483525213","0.398386994812313","0.389738494764407","0.376754282883896","0.37083205014735","0.368425608997827","0.353798928100661","0.356424231347053","0.351160968666112","0.334489386835586","0.316174127056455","0.306421167514546","0.299615610474279","0.295725030817137","0.280589838940148","0.277695099633593","0.274282690239922","","",
"Turkey","TUR","Arable land (% of land area)","AG.LND.ARBL.ZS","","29.9013811831659","30.0547016098645","31.0473864064551","30.9551342853059","30.9772228213557","31.1838155997038","30.9707261931058","31.3033535595026","32.7832854748386","32.214180840144","32.4545560853917","33.2276548471343","33.1886750776347","32.6923326793394","32.3636032898925","32.3038343099931","32.5649987656406","32.6429583046399","33.4940166053818","32.943102529787","33.1107155386354","31.4423814040513","30.7888206021075","31.8360770759976","31.9569143614464","31.9088393123969","32.4363655262919","32.2050855605941","32.3272221716929","32.0244792952458","32.0491664825955","31.8516689837974","31.8087912373478","32.0998401829451","32.0335745747957","31.8516689837974","31.5697153177501","31.7542195600483","31.5463274560503","30.9577329366059","30.9252497953562","31.1760196458038","30.3678390915115","31.0162025908553","30.9629302392059","29.8598027623663","28.5578784610787","28.0069643854839","27.7419019528865","27.784779699336","26.6868495250965","26.736223899796","26.732325922846","","",
"Turkey","TUR","Land under cereal production (hectares)","AG.LND.CREL.HA","","12865300","12965000","13016700","12930000","12960000","12973750","13013600","13131500","13304450","13159450","13292700","13043800","12687975","13187320","13606050","13547370","13574950","13352750","13696200","13163000","13638000","13421685","13322299","13350004","13719650","13747458","13699650","13729100","13488604","13640120","13908596","13731104","14079449","14132450","13805470","13935230","13962473","14065400","13919510","13954138","13901355","13777950","13406000","13840335","13885155","13037271","12396858","11982348","12061799","12014528","11850420","11280649","11507059","11553065","",
"Turkey","TUR","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","2.79874745007341","2.88060496602263","2.89099957122254","2.946870574172","2.99494562322155","3.09759234957057","3.1365721190702","3.26000805581903","3.26390603276899","3.35875680521809","3.42502241336746","3.44711094941725","3.56534958356613","3.59523407351585","3.57834284006601","3.69138417161493","3.72386731286462","3.79662954926393","3.9161675090628","4.06039265621143","3.9369567194626","3.7576497797643","3.79662954926393","3.78233696711407","3.81352078271377","3.80052752621389","3.84990190091343","3.86809246001325","3.92006548601276","3.9369567194626","3.92786143991269","3.91356885776282","3.9681405350623","3.98373244286215","3.19764042461962","3.21193300676949","3.33536894351831","3.28729389446877","3.27819861491886","3.31717838441849","3.31328040746852","3.35875680521809","3.44970960071723","3.5367644192664","3.60692800436573","3.76154775671427","3.77973831581409","3.83301066746359","3.82391538791367","3.91226953211283","4.01621558411185","4.17473331341034","4.19942050076011","","",
